,glom,id,weight,cell.type,connectivity.type,dataset,index,cell_name
1,D,1101751,0.002232143,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
2,DA1,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
3,DA2,1101751,0.185267857,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
4,DA3,1101751,0.004464286,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
5,DA4l,1101751,0.002232143,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
6,DA4m,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
7,DC1,1101751,0.006696429,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
8,DC2,1101751,0.131696429,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
9,DC3,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
10,DC4,1101751,0.209821429,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
11,DL1,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
12,DL2d,1101751,0.013392857,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
13,DL2v,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
14,DL3,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
15,DL4,1101751,0.084821429,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
16,DL5,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
17,DM1,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
18,DM2,1101751,0.004464286,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
19,DM3,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
20,DM4,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
21,DM5,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
22,DM6,1101751,0.002232143,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
23,DP1l,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
24,DP1m,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
25,V,1101751,0.004464286,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
26,VA1d,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
27,VA1v,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
28,VA2,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
29,VA3,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
30,VA4,1101751,0,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
31,VA5,1101751,0.004464286,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
32,VA6,1101751,0.002232143,LHPV6a10,LHPV6a10,FAFB,1,LHPV6a10_1
